"","ccode","year","ID","Nu_means","Nu_lower_80","Nu_upper_80","Nu_lower_95","Nu_upper_95","ura_i","metal_i","chemi_i","nitric_i","elect_i","nuke_i","explo_i","Non_HWR","HWR","test","reprocess","enrichment","submarines","explore","pursue","possession","Nu_infrastructure","Infrastructure_lower80","Infrastructure_upper80","Infrastructure_lower95","Infrastructure_upper95"
"704",2,1938,21938,0.672413008,0.403119725,0.95647488,0.276665829,1.108870049,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.659803957277335,0.377243349102264,0.972582750754067,0.306353724974876,1.17590273374546
"705",2,1939,21939,0.829413786,0.542355129,1.134011902,0.410081869,1.285534656,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0.655537612467051,0.377362496966376,0.977335213719192,0.301005627951625,1.17672324680538
"706",2,1940,21940,0.831207958,0.52958922,1.141295522,0.391800756,1.312347394,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0.657071500246254,0.376321420786931,0.976011873380604,0.30390924760512,1.17741669756986
"707",2,1941,21941,1.098885399,0.795634442,1.397611428,0.628476433,1.534105121,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0.859708375098245,0.494940612052265,1.23932530695233,0.375354878400907,1.47920814356489
"708",2,1942,21942,1.308461036,1.032147773,1.566364892,0.870559412,1.673038838,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0.865214690544644,0.495166520630285,1.26171109269948,0.370688592870697,1.49989378146899
"709",2,1943,21943,1.477649169,1.250730975,1.683345962,1.110215944,1.757996466,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1.13450887756128,0.730315227063938,1.54973557191732,0.535625815988523,1.79328314037886
"710",2,1944,21944,1.475564938,1.246042552,1.683489251,1.113717078,1.762580201,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1.14371375986201,0.719967037591904,1.57125884940095,0.530604245390173,1.77410771637001
"711",2,1945,21945,1.913384599,1.799059033,2.026603636,1.741199173,2.091563698,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1.56498089148322,1.16313951379461,1.94681844761994,0.941483828273893,2.08820184577202
"712",2,1946,21946,1.915092671,1.802526264,2.027836744,1.742421775,2.089849771,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1.57104069775449,1.17735827998066,1.93786299191809,0.952790914820075,2.07291784917414
"713",2,1947,21947,1.914137091,1.801978723,2.026005827,1.739491918,2.088604899,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1.56939558661865,1.17166738965683,1.94137653578878,0.948239709169928,2.08841577475495
"714",2,1948,21948,1.913919906,1.804386272,2.02237881,1.750451015,2.089728597,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1.56809264735217,1.15796516447267,1.94010170948096,0.931923622589185,2.08827983390362
"715",2,1949,21949,1.913931353,1.803217226,2.023437857,1.746375784,2.089950233,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1.56834303136881,1.1657360454372,1.94886540333721,0.945039394132115,2.10242806049979
"716",2,1950,21950,1.912887079,1.802070158,2.023040823,1.740738963,2.083056439,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1.56817951155185,1.1635033246315,1.94835683353044,0.92082771151638,2.09595126266203
"717",2,1951,21951,1.913975479,1.801461976,2.027295616,1.74435491,2.08748017,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1.56663978829935,1.15708846401892,1.95152470836588,0.931378916964148,2.09270213642348
"718",2,1952,21952,1.913989036,1.806181905,2.017988719,1.749285933,2.081905449,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1.56657462655982,1.17076225520426,1.93718449478258,0.946117007701478,2.08905702283435
"719",2,1953,21953,1.913498715,1.802013814,2.022406537,1.748669452,2.083541469,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1.57093405049656,1.17856805133577,1.94756707597008,0.93543795754898,2.08701099045008
"720",2,1954,21954,2.196587968,2.005567208,2.442938245,1.937222725,2.655668076,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,2.20161558939685,1.95241505677707,2.46773473870074,1.79430336603198,2.68173405729288
"721",2,1955,21955,2.197906106,2.005342867,2.438659113,1.935852695,2.67142946,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,2.20791441044026,1.95233819457867,2.49354872996617,1.78310588752822,2.70576287128336
"722",2,1956,21956,2.19649757,2.005102567,2.445839942,1.942868847,2.659128598,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,2.20822487803939,1.94885974121746,2.4883464669564,1.80055178177636,2.69648636785461
"723",2,1957,21957,2.332707682,2.048413567,2.695280372,1.97257034,2.987500389,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2.366549599702,2.05782394640401,2.73127755718045,1.92903703195042,3.01540907915984
